	captured_length	eth_dst	eth_src	highest_layer	info_line	interface_captured	ip_dst	ip_src	length	number	project_id	sniff_timestamp	tcp_dstport	tcp_srcport	tcp_stream
0	74	70:5a:b6:51:d7:b2	00:23:8b:82:1f:4a	TCP	46104→80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3299940 TSecr=0 WS=64		10.42.42.50	10.42.42.253	74	1	4	2010-02-03 01:34:06	80.0	46104.0	0.0
1	60	00:23:8b:82:1f:4a	70:5a:b6:51:d7:b2	TCP	80 > 46104 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		10.42.42.253	10.42.42.50	60	2	4	2010-02-03 01:34:06	46104.0	80.0	0.0
2	74	00:26:22:cb:1e:79	00:23:8b:82:1f:4a	TCP	59856 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300092 TSecr=0 WS=64		10.42.42.56	10.42.42.253	74	3	4	2010-02-03 01:34:07	80.0	59856.0	1.0
3	74	00:16:cb:92:6e:dc	00:23:8b:82:1f:4a	TCP	40921 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300092 TSecr=0 WS=64		10.42.42.25	10.42.42.253	74	4	4	2010-02-03 01:34:07	80.0	40921.0	2.0
4	60	00:23:8b:82:1f:4a	00:26:22:cb:1e:79	TCP	80 > 59856 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		10.42.42.253	10.42.42.56	60	5	4	2010-02-03 01:34:07	59856.0	80.0	1.0
5	60	00:23:8b:82:1f:4a	00:16:cb:92:6e:dc	TCP	80 > 40921 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		10.42.42.253	10.42.42.25	60	6	4	2010-02-03 01:34:07	40921.0	80.0	2.0
6	74	70:5a:b6:51:d7:b2	00:23:8b:82:1f:4a	TCP	38232 > 554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64		10.42.42.50	10.42.42.253	74	7	4	2010-02-03 01:34:07	554.0	38232.0	3.0
7	74	00:26:22:cb:1e:79	00:23:8b:82:1f:4a	TCP	43771 > 554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64		10.42.42.56	10.42.42.253	74	8	4	2010-02-03 01:34:07	554.0	43771.0	4.0
8	60	00:23:8b:82:1f:4a	00:26:22:cb:1e:79	TCP	554 > 43771 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		10.42.42.253	10.42.42.56	60	9	4	2010-02-03 01:34:07	43771.0	554.0	4.0
9	74	00:16:cb:92:6e:dc	00:23:8b:82:1f:4a	TCP	50305 > 554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64		10.42.42.25	10.42.42.253	74	10	4	2010-02-03 01:34:07	554.0	50305.0	5.0
10	74	70:5a:b6:51:d7:b2	00:23:8b:82:1f:4a	TCP	35168 > 389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64		10.42.42.50	10.42.42.253	74	11	4	2010-02-03 01:34:07	389.0	35168.0	6.0
11	74	00:26:22:cb:1e:79	00:23:8b:82:1f:4a	TCP	43514 > 389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64		10.42.42.56	10.42.42.253	74	12	4	2010-02-03 01:34:07	389.0	43514.0	7.0
12	60	00:23:8b:82:1f:4a	00:16:cb:92:6e:dc	TCP	554 > 50305 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		10.42.42.253	10.42.42.25	60	13	4	2010-02-03 01:34:07	50305.0	554.0	5.0
